날짜,시가,고가,저가,거래량,등락률,RSI,EMA_20,EMA_60,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,24568,24620,23689,491459,-3.14526588845655,,,,-1774021850.0,120921350.0,822475650.0,830624850.0,0.0,23896
2015-01-05,23947,23947,22706,889216,-4.113659189822565,,,,-2730819650.0,284461000.0,3725843250.0,-1279484600.0,0.0,22913
2015-01-06,22551,22706,22085,847097,-3.159778291799415,,,,-3502866250.0,-104388800.0,1981592550.0,1625662500.0,0.0,22189
2015-01-07,22137,22499,21981,568552,-0.23435035377889946,,,,-2325995150.0,-16949300.0,2236137150.0,106807300.0,0.0,22137
2015-01-08,22292,22499,21982,484992,-0.46528436554185304,,,,-2054541800.0,-43124150.0,1741944400.0,355721550.0,0.0,22034
2015-01-09,22292,24723,22137,1507591,6.571661976944722,,,,763835450.0,3173250.0,-76986350.0,-690022350.0,0.0,23482
2015-01-12,23689,24465,23430,497605,0.4428924282429095,,,,-964120450.0,64280000.0,424461100.0,475379350.0,0.0,23586
2015-01-13,23948,24465,23637,646288,1.534808784872382,,,,-1297441950.0,362962500.0,-716888050.0,1651367500.0,0.0,23948
2015-01-14,24051,24206,23016,480276,-3.4574912310005015,,,,-1250758050.0,158347600.0,2360200300.0,-1267789850.0,0.0,23120
2015-01-15,23016,23637,22861,397077,0.8953287197231834,,,,-661127900.0,-11417200.0,-244994500.0,917539600.0,0.0,23327
2015-01-16,23068,23275,22137,450724,-4.432631714322459,,,,-1763351750.0,-196252800.0,2210281500.0,-250676950.0,0.0,22293
2015-01-19,22602,23792,22499,673467,6.028798277486207,,,,504707350.0,-1817250.0,-478084750.0,-24805350.0,0.0,23637
2015-01-20,24103,24517,23224,618917,-1.7472606506747894,,,,-33149850.0,-330422850.0,3320784750.0,-2957212050.0,0.0,23224
2015-01-21,23431,23431,22396,485548,-3.117464691698243,42.11068237319416,,,-599832400.0,360520200.0,-65486900.0,304799100.0,0.0,22500
2015-01-22,22758,23275,22654,405831,2.2977777777777777,47.24883280582142,,,-1986743100.0,813400.0,-1349515450.0,3335445150.0,0.0,23017
2015-01-23,23326,23482,22654,379013,-1.1252552461224312,45.08969867679076,,,-791362850.0,98145450.0,879940300.0,-186722900.0,0.0,22758
2015-01-26,22706,22810,22137,376691,-2.0432375428420775,41.4292565113811,,,-2200840700.0,33252150.0,2339477750.0,-171889200.0,0.0,22293
2015-01-27,22395,22913,22189,382177,2.085856546898129,46.138182891301916,,,228406650.0,2662000.0,-881352550.0,650283900.0,0.0,22758
2015-01-28,22706,24723,22603,1351012,8.410229369891905,60.29006023797222,,,7952254350.0,-37441250.0,-4469971650.0,-3444841450.0,0.0,24672
2015-01-29,24051,24465,23534,1018218,-3.773508430609598,52.99601134193958,23265.982125426563,,3260343550.0,320612500.0,978146550.0,-4559102600.0,0.0,23741
2015-01-30,24051,24103,22965,643963,0.0,52.99601134193957,23311.221923004985,,-1173345950.0,28961850.0,3850945200.0,-2706561100.0,0.0,23741
2015-02-02,23585,24361,23430,665583,2.1776673265658566,56.39369157509652,23401.391263671176,,2970794750.0,-105961850.0,2850354800.0,-5715187700.0,0.0,24258
2015-02-03,24568,25964,24206,1572611,2.1312556682331603,59.54307370174298,23532.21114332154,,241346700.0,229732600.0,4019193650.0,-4490272950.0,0.0,24775
2015-02-04,24982,25240,24672,633108,-0.41574167507568116,58.63449904176278,23640.7624630052,,2150304850.0,-185163450.0,911934300.0,-2877075700.0,0.0,24672
2015-02-05,24827,24930,23947,462545,-2.306258106355383,53.75466291073952,23684.785085576135,,-881775700.0,26857500.0,1375748150.0,-520829950.0,0.0,24103
2015-02-06,24103,24620,23844,444047,0.858814255486869,55.214916133961005,23744.329363140314,,-511486350.0,10883200.0,1257937600.0,-757334450.0,0.0,24310
2015-02-09,24310,24879,24258,393535,0.21390374331550802,55.59424610104989,23803.15513807933,,1061241100.0,-118300.0,-612762750.0,-448360050.0,0.0,24362
2015-02-10,24309,24516,23327,602589,-3.3987357359822674,48.54362123171701,23777.52131540511,,-3953864600.0,12732100.0,3090799300.0,850333200.0,0.0,23534
2015-02-11,23637,24672,23378,490558,4.835557066372057,56.67608389500358,23862.709761557006,,836539800.0,-34614700.0,-2745627550.0,1943702450.0,0.0,24672
2015-02-12,24723,25396,24568,551276,0.8390077821011673,57.97709701410562,23959.49930807539,,3116084000.0,-33399650.0,-1556764800.0,-1525919550.0,0.0,24879
2015-02-13,25240,25292,24671,428921,1.0370191727963343,59.605313888684925,24071.642231115828,,3123428750.0,163478500.0,-2319578100.0,-967329150.0,0.0,25137
2015-02-16,25189,25551,24930,334448,1.0303536619326092,61.22934405137598,24197.77154243813,,201299550.0,142716600.0,-197520700.0,-146495450.0,0.0,25396
2015-02-17,25396,26689,25241,941778,3.8706882973696644,66.70122399776326,24405.50758601545,,3086537300.0,-248673150.0,-3645261350.0,807397200.0,0.0,26379
2015-02-23,26689,26792,26016,537688,1.3723037264490694,68.46624099445623,24627.93543496636,,2792007700.0,5508800.0,-1803329550.0,-994186950.0,0.0,26741
2015-02-24,26793,26896,26379,362218,0.19445794846864364,68.72270666565322,24834.13206020766,,1388207150.0,39776000.0,580103650.0,-2008086800.0,0.0,26793
2015-02-25,26844,27413,26689,493123,1.1570186242675327,70.27481182813719,25050.214721140263,,1493650900.0,189219850.0,40018900.0,-1722889650.0,0.0,27103
2015-02-26,27154,27154,26223,603986,-2.0993985905619303,63.99728225169726,25191.52760484119,,-228213650.0,373492500.0,1691566200.0,-1836845050.0,0.0,26534
2015-02-27,26430,26482,25758,498095,-2.924549634431296,56.5748442088306,25245.477356761075,,-747708900.0,-100772750.0,2995533900.0,-2147052250.0,0.0,25758
2015-03-02,25861,26895,25602,518684,3.6144110567590646,62.234079688950914,25382.95570373621,,-381653750.0,259150.0,597293300.0,-215898700.0,0.0,26689
